album_name,track_name,album_type,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
Ach Khbarek,Ach Khbarek,single,58.0,0.765,0.871,0,-4.667,0.16,0.0528,0.0,0.0527,0.782,119.929,Saad Lamjarred
Acróstico,Acróstico,single,91.0,0.748,0.478,11,-8.886000000000001,0.121,0.8370000000000001,0.0,0.099,0.353,143.866,Shakira
Adiós Amor / Oye Mujer,Adiós Amor / Oye Mujer,single,76.0,0.466,0.46799999999999997,11,-5.966,0.12300000000000001,0.0046700000000000005,0.0,0.12,0.845,179.83900000000003,Ke Personajes
Aferin,Aferin,single,74.0,0.6629999999999999,0.716,0,-7.477,0.0484,0.303,0.0,0.331,0.6890000000000001,140.086,Mabel Matiz
Afraid To Feel,Afraid To Feel,single,82.0,0.578,0.912,1,-3.929,0.114,0.0166,0.0036200000000000004,0.273,0.68,127.87,LF SYSTEM
Aftaab X Tere Liye (FanaaTV Version),Aftaab X Tere Liye - FanaaTV Version,single,11.0,0.564,0.526,3,-7.3870000000000005,0.034,0.297,0.0,0.171,0.389,103.921,Fanaatv
After Hours,Blinding Lights,album,92.0,0.514,0.73,1,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,171.005,The Weeknd
After Hours,Save Your Tears,album,89.0,0.68,0.826,0,-5.487,0.0309,0.0212,1.24e-05,0.5429999999999999,0.644,118.051,The Weeknd
After LIKE,After LIKE,single,84.0,0.68,0.922,0,-1.215,0.121,0.10300000000000001,0.0,0.0877,0.799,125.014,IVE
After Love,Zim Zim Zim,album,32.0,0.701,0.904,10,-4.721,0.0367,0.0339,9.87e-06,0.146,0.963,134.982,Valy
Afterhours,Afterhours,single,70.0,0.772,0.703,11,-7.73,0.122,0.21100000000000002,0.00122,0.129,0.48,90.036,Bir
Agent Vinod,Raabta,album,78.0,0.657,0.581,0,-8.107999999999999,0.0298,0.6990000000000001,1.82e-05,0.11599999999999999,0.32299999999999995,118.037,Pritam
Agudo Mágico 3,Agudo Mágico 3,single,78.0,0.649,0.797,6,-2.405,0.0504,0.221,0.0352,0.0728,0.49,129.966,MC K.K
Aha-Aha,Aha-Aha,single,54.0,0.8590000000000001,0.672,0,-5.355,0.047,0.43,0.0449,0.0726,0.524,95.973,Bruno X Spacc
Ahlam,Ahlam,single,43.0,0.705,0.634,3,-10.062000000000001,0.185,0.754,0.149,0.183,0.39,91.98700000000001,Leil
Ahora,De Los Besos Que Te Di,album,77.0,0.504,0.503,7,-3.313,0.0422,0.38799999999999996,0.0,0.0608,0.7090000000000001,195.593,Christian Nodal
Ai Coração,Ai Coração,single,50.0,0.664,0.626,6,-8.197000000000001,0.0515,0.31,5.32e-06,0.163,0.7659999999999999,145.14,Mimicat
Ai Janam,Ai Janam,single,28.0,0.7859999999999999,0.757,6,-5.602,0.0323,0.49,0.000713,0.18600000000000003,0.779,114.005,Jawid Sharif
Ai fost (cu Mario Fresh),Ai fost (cu Mario Fresh),single,56.0,0.688,0.479,0,-6.687,0.136,0.326,0.000144,0.11900000000000001,0.355,203.778,Alina Eremia
Aijā,Aijā,single,66.0,0.556,0.5479999999999999,9,-7.513,0.0694,0.0523,0.00011,0.0781,0.39799999999999996,160.071,Sudden Lights
Ainult Unustamiseks,Ainult Unustamiseks,single,44.0,0.596,0.795,2,-5.483,0.048,0.111,0.0,0.147,0.37,125.046,Púr Múdd
Air,Air,single,69.0,0.5720000000000001,0.7340000000000001,1,-5.801,0.0442,0.0495,0.0,0.0453,0.0867,119.9,Marcus & Martinus
Ajini,Ajini,single,60.0,0.7759999999999999,0.625,2,-8.946,0.0845,0.23600000000000002,2.13e-05,0.068,0.505,98.03200000000001,Mounim Slimani
Ajini,Ajini,single,49.0,0.7759999999999999,0.625,2,-8.946,0.0845,0.23600000000000002,2.13e-05,0.068,0.505,98.03200000000001,Mounim Slimani
Akhir Ay Yaar,Akhir Ay Yaar,single,32.0,0.69,0.7020000000000001,1,-5.707000000000001,0.0653,0.159,0.0,0.0678,0.861,91.98700000000001,Sara Soroor
Al Aramızdan,Al Aramızdan,single,74.0,0.622,0.6990000000000001,6,-8.539,0.0404,0.102,0.0,0.26,0.45299999999999996,94.001,KÖFN
Alam,Interlude,album,37.0,0.451,0.51,1,-9.754,0.16,0.212,0.0005,0.165,0.524,194.90099999999998,OUENZA
Alam,La Tete,album,55.0,0.7829999999999999,0.6559999999999999,6,-6.212999999999999,0.196,0.40299999999999997,0.0,0.124,0.455,109.53,OUENZA
Ale jazz!,Ale jazz!,single,55.0,0.662,0.649,0,-5.647,0.0739,0.429,0.0273,0.11699999999999999,0.9309999999999999,206.042,sanah
Alien,Alien,single,42.0,0.7490000000000001,0.65,9,-6.9510000000000005,0.114,0.0158,0.0,0.26899999999999996,0.75,150.047,Sobel
All Eyez On Me (Gangsta Remix),All Eyez On Me - Gangsta Remix,single,79.0,0.841,0.721,2,-7.727,0.18,0.225,0.0016,0.36700000000000005,0.493,103.98899999999999,Dj Belite
All I Want Is You,Sure Thing,album,91.0,0.684,0.607,11,-8.127,0.1,0.0267,0.000307,0.191,0.498,81.001,Miguel
All In (feat. Lamin),All In (feat. Lamin),single,64.0,0.67,0.727,1,-5.311,0.32299999999999995,0.239,0.0,0.358,0.695,101.709,Blæst
All My Life (feat. J. Cole),All My Life (feat. J. Cole),single,89.0,0.8290000000000001,0.436,3,-8.205,0.327,0.15,0.0,0.0954,0.693,143.031,Lil Durk
