track.name,album_name,album_type,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
All Eyes On Me,ME,single,79.0,0.779,0.646,8,-5.884,0.0388,0.026,2.66e-05,0.0943,0.628,110.048,JISOO
All Eyez On Me - Gangsta Remix,All Eyez On Me (Gangsta Remix),single,79.0,0.841,0.721,2,-7.727,0.18,0.225,0.0016,0.367,0.493,103.989,Dj Belite
All Girls Are The Same,Goodbye & Good Riddance,album,87.0,0.671,0.529,0,-7.226,0.307,0.0769,0.000335,0.0856,0.203,161.989,Juice WRLD
All In (feat. Lamin),All In (feat. Lamin),single,64.0,0.67,0.727,1,-5.311,0.323,0.239,0.0,0.358,0.695,101.709,Blæst
All My Life (feat. J. Cole),Almost Healed,single,89.0,0.829,0.57,3,-5.881,0.327,0.15,0.0,0.135,0.733,143.031,Lil Durk
All Night,I feel,single,82.0,0.809,0.84,9,-3.347,0.164,0.0822,0.368,0.275,0.684,107.025,(G)I-DLE
All Of The Girls You Loved Before,All Of The Girls You Loved Before,single,89.0,0.718,0.467,2,-9.66,0.0398,0.707,6.92e-05,0.126,0.396,95.96,Taylor Swift
Alleluia (feat. Sfera Ebbasta),Milano Demons,album,73.0,0.744,0.579,8,-6.698,0.206,0.272,0.0,0.121,0.399,133.105,Shiva
Allergy,I feel,single,76.0,0.591,0.92,5,-3.699,0.185,0.0524,0.0,0.0467,0.545,165.087,(G)I-DLE
Alo Aleky,Alo Aleky,single,71.0,0.671,0.41,7,-8.192,0.183,0.921,0.00181,0.102,0.51,165.955,Mohammed Saeed
Alo baza baza,Alo baza baza,single,57.0,0.861,0.669,10,-8.798,0.426,0.0789,0.00109,0.078,0.892,74.99,Tzanca Uraganu
Alone,FACE,single,80.0,0.593,0.446,0,-7.776,0.0266,0.283,0.0,0.119,0.168,102.057,Jimin
Alone (with Nicki Minaj),Alone,single,81.0,0.681,0.513,3,-6.643,0.0388,0.069,0.0,0.125,0.167,136.985,Kim Petras
Alt du vil ha,Alt du vil ha,single,65.0,0.523,0.391,1,-9.093,0.0357,0.67,0.0,0.0937,0.263,135.027,Isah
Alt geworden,Alt geworden,single,38.0,0.825,0.564,6,-8.968,0.0467,0.617,0.0,0.458,0.683,130.042,GG
Alt jeg ser,Alt jeg ser,single,51.0,0.773,0.704,8,-7.661,0.186,0.116,7.88e-06,0.159,0.503,112.02,Capow x 2G
Altamente Mia,Altamente Mia,single,73.0,0.608,0.652,3,-6.061,0.0707,0.0377,0.0,0.131,0.391,80.055,Bresh
Altas Loucurinhas (Uni Duni Tê) - Ao Vivo,"MF No Rio, Vol. 1 (Ao Vivo)",album,81.0,0.857,0.772,9,-2.418,0.0345,0.245,0.0,0.118,0.886,128.0,Matheus Fernandes
Altüst Olmuşum,Altüst Olmuşum,single,76.0,0.479,0.527,9,-11.482,0.0271,0.247,4.32e-06,0.243,0.245,82.933,Mavi Gri
Aluspükse,Aluspükse,single,43.0,0.725,0.771,9,-5.551,0.221,0.388,1.4e-06,0.362,0.544,119.998,5MIINUST
Alvaniko,Alvaniko,single,26.0,0.585,0.732,1,-7.008,0.307,0.388,0.000217,0.217,0.602,197.983,Thug Slime
Always,NEVER ENOUGH,album,85.0,0.603,0.441,9,-8.178,0.0518,0.692,1.46e-06,0.105,0.167,136.137,Daniel Caesar
Amalia,Amalia,single,65.0,0.705,0.942,7,-2.179,0.0957,0.284,1.27e-06,0.334,0.879,106.043,Wesly Bronkhorst
Amanece,Amanece,single,84.0,0.79,0.631,8,-5.549,0.0425,0.437,0.0,0.158,0.889,94.039,Anuel AA
Amanecemos,Amanecemos,single,77.0,0.494,0.504,5,-6.242,0.111,0.179,0.00198,0.2,0.459,84.916,La Joaqui
Amapiano,Amapiano,single,70.0,0.812,0.651,0,-7.628,0.0856,0.144,5.81e-06,0.107,0.535,112.016,Asake
Amasango (feat. Sjavasdadeejay & TitoM),Amasango (feat. Sjavasdadeejay & TitoM),single,56.0,0.793,0.54,5,-10.162,0.0482,0.00686,0.00652,0.0352,0.286,112.003,Mellow & Sleazy
Amatimies,Mun tapa pelata,album,59.0,0.871,0.687,7,-4.417,0.155,0.0721,0.00141,0.357,0.586,115.963,JVG
Americana Na Vaquejada,Americana Na Vaquejada,single,80.0,0.588,0.794,11,-4.182,0.0399,0.184,0.0,0.418,0.357,139.903,Grandão Vaqueiro
An Apopse Figo,Fthina Tricks,album,63.0,0.812,0.745,4,-6.885,0.345,0.535,0.0,0.182,0.694,140.04,Bloody Hawk
An Thần,An Thần,single,61.0,0.758,0.773,6,-7.266,0.214,0.631,2.1e-06,0.114,0.907,169.996,Low G
Andando,Reinsertado,album,74.0,0.799,0.668,2,-6.452,0.0663,0.388,1.41e-06,0.252,0.401,105.035,Morad
Andas in andas ut,Andas in andas ut,single,72.0,0.671,0.536,11,-7.499,0.0353,0.24,0.0,0.111,0.733,98.865,Thomas Stenström
Anders,Anders,single,79.0,0.743,0.809,8,-7.924,0.214,0.527,0.632,0.102,0.342,75.035,01099
Ando Enfocado,Ando Enfocado,single,83.0,0.67,0.661,7,-7.165,0.1,0.137,0.0,0.0787,0.36,174.902,Jaziel Avilez
Ang Pag-ibig,Ang Pag-ibig,single,72.0,0.433,0.642,9,-7.382,0.0478,0.61,5.46e-05,0.0861,0.349,203.724,Rob Deniel
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",FAST X (Original Motion Picture Soundtrack),single,85.0,0.715,0.681,10,-4.25,0.113,0.129,0.0,0.152,0.277,84.924,Fast & Furious: The Fast Saga
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version","Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) [Trailer Version]",single,81.0,0.782,0.533,10,-7.677,0.263,0.369,0.0,0.111,0.215,84.985,Fast & Furious: The Fast Saga
Angels Like You,Plastic Hearts,album,92.0,0.672,0.642,5,-4.035,0.0313,0.0981,0.0,0.1,0.494,121.981,Miley Cyrus
Angst,Zeit,album,71.0,0.639,0.86,11,-4.27,0.069,0.000306,0.00549,0.0507,0.328,112.025,Rammstein
Anh Chưa Thương Em Đến Vậy Đâu,Tập 12: The Masked Singer Vietnam,single,65.0,0.536,0.341,8,-8.988,0.0337,0.863,0.00134,0.152,0.343,129.921,The Masked Singer
Anh Đã Ổn Hơn,99%,album,70.0,0.703,0.28,3,-9.56,0.0293,0.726,0.000282,0.118,0.338,141.892,RPT MCK
Anna mulle mitä vaan,Hyvikset ja pahikset,album,63.0,0.609,0.823,2,-7.163,0.0383,0.0181,0.0293,0.0451,0.543,160.049,KUUMAA
Anne-Fleur Vakantie,Anne-Fleur Vakantie,single,54.0,0.772,0.716,6,-3.76,0.0413,0.474,0.0,0.305,0.817,119.966,Roxy Dekker
Another Love,Long Way Down (Deluxe),album,92.0,0.445,0.538,4,-8.532,0.0451,0.717,2.95e-05,0.0944,0.139,122.769,Tom Odell
Antalya,Antalya,single,57.0,0.759,0.594,9,-7.532,0.0484,0.034,0.0,0.105,0.575,95.053,Costel Biju
Antes,Antes,single,78.0,0.85,0.621,3,-6.302,0.183,0.621,0.0,0.0988,0.567,114.092,Rvfv
Anti-Hero,Midnights,album,94.0,0.637,0.643,4,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,Taylor Swift
Antidepresan,Antidepresan,single,78.0,0.7,0.589,11,-9.974,0.0281,0.0297,1.4e-05,0.0987,0.915,100.014,Mert Demir
Aperol im Glas,Bülowstrasse,album,70.0,0.816,0.627,0,-5.499,0.15,0.242,0.000279,0.14,0.461,130.048,LEA
Apkabink,Pasaka,album,56.0,0.836,0.613,9,-6.94,0.033,0.292,9.78e-06,0.134,0.905,109.939,Jessica Shy
Apocalypse,Cigarettes After Sex,album,84.0,0.369,0.467,5,-9.018,0.0274,0.0194,0.46,0.109,0.174,94.473,Cigarettes After Sex
Apothimeno,Apothimeno,single,61.0,0.588,0.727,6,-4.964,0.194,0.492,0.00154,0.0798,0.3,87.667,Mente Fuerte
Apă și Foc,Apă și Foc,single,47.0,0.529,0.716,11,-9.354,0.369,0.325,0.0,0.182,0.128,184.231,Bvcovia
Apžavai,Apžavai,album,43.0,0.598,0.886,8,-5.85,0.0538,0.00354,0.0,0.0778,0.783,155.997,Vaidas Baumila
Aquecimento Senta Senta Suave,Tamborzão Raiz,album,83.0,0.77,0.645,5,-6.912,0.339,0.581,8.95e-05,0.343,0.66,134.858,MC Kevin o Chris
Arahmini,٤in,album,59.0,0.655,0.799,10,-4.975,0.047,0.13,0.0849,0.136,0.582,81.984,Don Bigg
Arai (feat. Capo Plaza),Nove Chiamate,album,76.0,0.816,0.735,4,-4.809,0.101,0.0653,0.0,0.126,0.675,127.988,Medy
